id,locked,mouse,release,repeat,longPress,non_consuming,has_description,modmask,submap,submap_universal,key,keycode,catch_all,desc,command_id,context_id
1,0,0,0,0,0,0,1,M,,0,RETURN,0,0,open the default terminal,,
2,0,0,0,0,0,0,1,M,,0,t,0,0,open the alternate terminal,,
3,0,0,0,0,0,0,1,M-S,,0,RETURN,0,0,open the graphical file browser,,
4,0,0,0,0,0,0,1,M-C,,0,RETURN,0,0,open the default email,,
5,0,0,0,0,0,0,1,M,,0,b,0,0,open the default browser,,
6,0,0,0,0,0,0,1,M,,0,o,0,0,open the vim-based browser,,
7,0,0,0,0,0,0,1,C-A,,0,a,0,0,open ai assistant,,
8,0,0,0,0,0,0,1,M,,0,i,0,0,open the emoticon browser,,
9,0,0,0,0,0,0,1,M,,0,e,0,0,start the emacs client,,
10,0,0,0,0,0,0,1,M-S,,0,e,0,0,start the emacs server/daemon,,
11,0,0,0,0,0,0,1,M,,0,m,0,0,open the music player,,
12,0,0,0,0,0,0,1,M-S,,0,m,0,0,open the media player,,
13,0,0,0,0,0,0,1,C-A,,0,m,0,0,rofi music selector,,
14,0,0,0,0,0,0,1,HYPER(M-C-A-S),,0,i,0,0,rofi playlist mangager,,
15,0,0,0,0,0,0,1,C-A,,0,t,0,0,open tmux in terminal with no padding,,
16,0,0,0,0,0,0,1,M,,0,PRINT,0,0,screenshot,,
17,0,0,0,0,0,0,1,(NONE),,0,PRINT,0,0,screenshot,,
18,0,0,0,0,0,0,1,M,,0,n,0,0,terminal/like text editor<sub-neo>,,
19,0,0,0,0,0,0,1,(NONE),text-edit,0,n,0,0,<sub-neo>open notes,,
20,0,0,0,0,0,0,1,(NONE),text-edit,0,m,0,0,<sub-neo>open neovide,,
21,0,0,0,0,0,0,1,(NONE),text-edit,0,c,0,0,<sub-neo>open .config folder,,
22,0,0,0,0,0,0,1,(NONE),text-edit,0,h,0,0,<sub-neo>open hypr configs,,
23,0,0,0,0,0,0,1,(NONE),text-edit,0,d,0,0,<sub-neo>open dwm configs,,
24,0,0,0,0,0,0,1,(NONE),text-edit,0,a,0,0,<sub-neo>open awesomewm configs,,
25,0,0,0,0,0,0,1,(NONE),text-edit,0,w,0,0,<sub-neo>open waybar configs,,
26,0,0,0,0,0,0,1,(NONE),text-edit,0,s,0,0,<sub-neo>open scripts folder,,
27,0,0,0,0,0,0,1,(NONE),text-edit,0,q,0,0,<sub-neo>open qtile configs,,
28,0,0,0,0,0,0,1,(NONE),text-edit,0,l,0,0,<sub-neo>open lazyvim configs,,
29,0,0,0,0,0,0,0,(NONE),text-edit,0,escape,0,0,,,
30,0,0,0,0,0,0,1,M,,0,p,0,0,run menu,,
31,0,0,0,0,0,0,1,M-S,,0,p,0,0,drun menu,,
32,0,0,0,0,0,0,1,M-C,,0,p,0,0,files menu,,
33,0,0,0,0,0,0,1,M-A,,0,p,0,0,windowS menu,,
34,0,0,0,0,0,0,1,M-S,,0,o,0,0,select brave bookmarks,,
35,0,0,0,0,0,0,1,M-C,,0,c,0,0,show clipboard history,,
36,0,0,0,0,0,0,1,M-C,,0,v,0,0,show clipboard history,,
37,0,0,0,0,0,0,1,M-C,,0,q,0,0,logout menu,,
38,0,0,0,0,0,0,1,C-A,,0,DELETE,0,0,logout menu,,
39,0,0,0,0,0,0,1,C-A,,0,o,0,0,start an online search,,
40,0,0,0,0,0,0,1,C-A,,0,k,0,0,show keybinding selector,,
41,0,0,0,0,0,0,1,M-A,,0,j,0,0,scratchpad (files),,
42,0,0,0,0,0,0,1,M-A,,0,h,0,0,scratchpad (files),,
43,0,0,0,0,0,0,1,HYPER(M-C-A-S),,0,4,0,0,scratchpad (files),,
44,0,0,0,0,0,0,1,M-A,,0,j,0,0,scratchpad (files),,
45,0,0,0,0,0,0,1,M-A,,0,d,0,0,scratchpad (term),,
46,0,0,0,0,0,0,1,HYPER(M-C-A-S),,0,8,0,0,scratchpad (term),,
47,0,0,0,0,0,0,1,M-A,,0,l,0,0,scratchpad (monitor),,
48,0,0,0,0,0,0,1,M-A,,0,s,0,0,scratchpad (monitor),,
49,0,0,0,0,0,0,1,HYPER(M-C-A-S),,0,6,0,0,scratchpad (monitor),,
50,0,0,0,0,0,0,1,M-A,,0,m,0,0,scratchpad (moosic),,
51,0,0,0,0,0,0,1,HYPER(M-C-A-S),,0,1,0,0,scratchpad (moosic),,
52,0,0,0,0,0,0,1,M-A,,0,x,0,0,scratchpad (audio),,
53,0,0,0,0,0,0,1,HYPER(M-C-A-S),,0,2,0,0,scratchpad (audio),,
54,0,0,0,0,0,0,1,M-A,,0,0,0,0,scratchpad (special) full,,
55,0,0,0,0,0,0,1,HYPER(M-C-A-S),,0,0,0,0,scratchpad (special) full,,
56,0,0,0,0,0,0,1,M-S,,0,0,0,0,move window to special workspace,,
57,0,0,0,0,0,0,1,MEH(C-A-S),,0,0,0,0,move window to special workspace,,
58,0,0,0,0,0,0,1,MEH(C-A-S),,0,F1,0,0,open alternate browser,,
59,0,0,0,0,0,0,1,M,,0,F1,0,0,open alternate browser,,
60,0,0,0,0,0,0,1,MEH(C-A-S),,0,F2,0,0,open alternate email,,
61,0,0,0,0,0,0,1,M,,0,F2,0,0,open alternate email,,
62,0,0,0,0,0,0,1,MEH(C-A-S),,0,F3,0,0,open terminal file browser,,
63,0,0,0,0,0,0,1,M,,0,F3,0,0,open terminal file browser,,
64,0,0,0,0,0,0,1,MEH(C-A-S),,0,F4,0,0,open graphical text editor,,
65,0,0,0,0,0,0,1,M,,0,F4,0,0,open graphical text editor,,
66,0,0,0,0,0,0,1,MEH(C-A-S),,0,F5,0,0,open image editor,,
67,0,0,0,0,0,0,1,M,,0,F5,0,0,open image editor,,
68,0,0,0,0,0,0,1,MEH(C-A-S),,0,F6,0,0,open office suite,,
69,0,0,0,0,0,0,1,M,,0,F6,0,0,open office suite,,
70,0,0,0,0,0,0,1,MEH(C-A-S),,0,F7,0,0,open music player,,
71,0,0,0,0,0,0,1,M,,0,F7,0,0,open music player,,
72,0,0,0,0,0,0,1,MEH(C-A-S),,0,F8,0,0,open media playger,,
73,0,0,0,0,0,0,1,M,,0,F8,0,0,open media playger,,
74,0,0,0,0,0,0,1,MEH(C-A-S),,0,F9,0,0,open streaming software,,
75,0,0,0,0,0,0,1,M,,0,F9,0,0,open streaming software,,
